Genre			kNN		Naive Bayes		Random Forest
Blues			Classical	Country			Blues
Classical		Classical	Classical		Classical
Rock			Disco		HipHop			Rock
Disco			Metal		Disco			Disco
HipHop			Blues		Reggae			HipHop
Reggae			Country		Reggae			Reggae			
Pop			Pop		Pop			Pop
Country			HipHop		Pop			Country
Jazz			Classical	Classical		Jazz
Metal			Metal		Metal			Metal

Slipknot (Metal)	Metal		HipHop			Disco
Bethoven (Classical)	Classical	Classical		Classical
Selena Gomez (Pop)	Country		Classical		Country
Ottawan (Disco)		Country		Reggae			Rock
Improvisation (Blues)	Classical	Classical		Blues
DeathStarts (Metal)	Rock		HipHop			HipHop
Blues Delight (Blues)	Jazz		Classical		Country
Autumn Leaves (Jazz)	Classical	Classical		Jazz
Nirvana (Rock)		Country		Reggae			Reggae
Bob Marley (Raggae)	Classical	Jazz			Blues
Bethoven (Classical)	Classical	Classical		Classical
Taylor Swift (Pop)	Country		Blues			Country
System Of a Down (Metal)Metal		Disco			Disco

Hit Percentage		30,4%		26,1%			60,1%
